% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
16.815	3	1	1682	6	1	28	2292
16.825	3	1	1683	6	1	28	2292
16.835	3	1	1684	6	1	28	2292
16.845	3	1	1685	6	1	28	2292
16.855	3	1	1686	6	1	28	2292
16.865	3	1	1687	6	1	28	2292
16.875	3	1	1688	6	1	28	2292
16.885	3	1	1689	6	1	28	2292
16.895	3	1	1690	6	1	28	2292
16.905	3	1	1691	6	1	28	2292
16.915	3	1	1692	6	1	28	2292
16.925	3	1	1693	6	1	28	2292
16.935	3	1	1694	6	1	28	2292
16.945	3	1	1695	6	1	28	2292
16.955	3	1	1696	6	1	28	2292
16.965	3	1	1697	6	1	28	2292
16.975	3	1	1698	6	1	28	2292
16.985	3	1	1699	6	1	28	2292
16.995	3	1	1700	6	1	28	2292
17.005	3	1	1701	6	1	28	2292
17.015	3	1	1702	6	1	28	2292
17.025	3	1	1703	6	1	28	2292
17.035	3	1	1704	6	1	28	2292
17.045	3	1	1705	6	1	28	2292
17.055	3	1	1706	6	1	28	2292
17.065	3	1	1707	6	1	28	2292
17.075	3	1	1708	6	1	28	2292
17.085	3	1	1709	6	1	28	2292
17.095	3	1	1710	6	1	28	2292
17.105	3	1	1711	6	1	28	2292
17.115	3	1	1712	6	1	28	2292
17.125	3	1	1713	6	1	28	2292
17.135	3	1	1714	6	1	28	2292
17.145	3	1	1715	6	1	28	2292
17.155	3	1	1716	6	1	28	2292
17.165	3	1	1717	6	1	28	2292
17.175	3	1	1718	6	1	28	2292
17.185	3	1	1719	6	1	28	2292
17.195	3	1	1720	6	1	28	2292
17.205	3	1	1721	6	1	28	2292
17.215	3	1	1722	6	1	28	2292
17.225	3	1	1723	6	1	28	2292
17.235	3	1	1724	6	1	28	2292
17.245	3	1	1725	6	1	28	2292
17.255	3	1	1726	6	1	28	2292
17.265	3	1	1727	6	1	28	2292
17.275	3	1	1728	6	1	28	2292
17.285	3	1	1729	6	1	28	2292
17.295	3	1	1730	6	1	28	2292
17.305	3	1	1731	6	1	28	2292
17.315	3	1	1732	6	1	28	2292
17.325	3	1	1733	6	1	28	2292
17.335	3	1	1734	6	1	28	2292
17.345	3	1	1735	6	1	28	2292
17.355	3	1	1736	6	1	28	2292
17.365	3	1	1737	6	1	28	2292
17.375	3	1	1738	6	1	28	2292
17.385	3	1	1739	6	1	28	2292
17.395	3	1	1740	6	1	28	2292
17.405	3	1	1741	6	1	28	2292
17.415	3	1	1742	6	1	28	2292
17.425	3	1	1743	6	1	28	2292
17.435	3	1	1744	6	1	28	2292
17.445	3	1	1745	6	1	28	2292
17.455	3	1	1746	6	1	28	2292
17.465	3	1	1747	6	1	28	2292
17.475	3	1	1748	6	1	28	2292
17.485	3	1	1749	6	1	28	2292
17.495	3	1	1750	6	1	28	2292
17.505	3	1	1751	6	1	28	2292
17.515	3	1	1752	6	1	28	2292
17.525	3	1	1753	6	1	28	2292
17.535	3	1	1754	6	1	28	2292
17.545	3	1	1755	6	1	28	2292
17.555	3	1	1756	6	1	28	2292
17.565	3	1	1757	6	1	28	2292
17.575	3	1	1758	6	1	28	2292
17.585	3	1	1759	6	1	28	2292
17.595	3	1	1760	6	1	28	2292
17.605	3	1	1761	6	1	28	2292
17.615	3	1	1762	6	1	28	2292
17.625	3	1	1763	6	1	28	2292
17.635	3	1	1764	6	1	28	2292
17.645	3	1	1765	6	1	28	2292
17.655	3	1	1766	6	1	28	2292
17.665	3	1	1767	6	1	28	2292
17.675	3	1	1768	6	1	28	2292
17.685	3	1	1769	6	1	28	2292
17.695	3	1	1770	6	1	28	2292
17.705	3	1	1771	6	1	28	2292
17.715	3	1	1772	6	1	28	2292
17.725	3	1	1773	6	1	28	2292
17.735	3	1	1774	6	1	28	2292
17.745	3	1	1775	6	1	28	2292
17.755	3	1	1776	6	1	28	2292
17.765	3	1	1777	6	1	28	2292
17.775	3	1	1778	6	1	28	2292
17.785	3	1	1779	6	1	28	2292
17.795	3	1	1780	6	1	28	2292
17.805	3	1	1781	6	1	28	2292
17.815	3	1	1782	6	1	28	2292
17.825	3	1	1783	6	1	28	2292
17.835	3	1	1784	6	1	28	2292
17.845	3	1	1785	6	1	28	2292
17.855	3	1	1786	6	1	28	2292
17.865	3	1	1787	6	1	28	2292
17.875	3	1	1788	6	1	28	2292
17.885	3	1	1789	6	1	28	2292
17.895	3	1	1790	6	1	28	2292
17.905	3	1	1791	6	1	28	2292
17.915	3	1	1792	6	1	28	2292
17.925	3	1	1793	6	1	28	2292
17.935	3	1	1794	6	1	28	2292
17.945	3	1	1795	6	1	28	2292
17.955	3	1	1796	6	1	28	2292
