% time	cellId	IMSI	RNTI	sinrLinear
34.401	1	1	1	5320.88
34.441	1	1	1	5320.89
34.481	1	1	1	5320.91
34.521	1	1	1	5320.92
34.561	1	1	1	5320.94
34.601	1	1	1	5320.95
34.641	1	1	1	5320.97
34.681	1	1	1	5320.98
34.721	1	1	1	5321
34.761	1	1	1	5321.01
34.801	1	1	1	5321.03
34.841	1	1	1	5321.04
34.881	1	1	1	5321.06
34.921	1	1	1	5321.07
34.961	1	1	1	5321.08
35.001	1	1	1	5321.1
35.041	1	1	1	5321.11
35.081	1	1	1	5321.13
35.121	1	1	1	5321.14
35.161	1	1	1	5321.15
35.201	1	1	1	5321.17
35.241	1	1	1	5321.18
35.281	1	1	1	5321.19
35.321	1	1	1	5321.21
35.361	1	1	1	5321.22
35.401	1	1	1	5321.23
35.441	1	1	1	5321.24
35.481	1	1	1	5321.26
35.521	1	1	1	5321.27
35.561	1	1	1	5321.28
35.601	1	1	1	5321.29
35.641	1	1	1	5321.31
35.681	1	1	1	5321.32
35.721	1	1	1	5321.33
35.761	1	1	1	5321.34
35.801	1	1	1	5321.35
35.841	1	1	1	5321.37
35.881	1	1	1	5321.38
35.921	1	1	1	5321.39
35.961	1	1	1	5321.4
36.001	1	1	1	5321.41
36.041	1	1	1	5321.42
36.081	1	1	1	5321.44
36.121	1	1	1	5321.45
36.161	1	1	1	5321.46
36.201	1	1	1	5321.47
36.241	1	1	1	5321.48
36.281	1	1	1	5321.49
36.321	1	1	1	5321.5
36.361	1	1	1	5321.51
36.401	1	1	1	5321.52
36.441	1	1	1	5321.53
36.481	1	1	1	5321.55
36.521	1	1	1	5321.56
36.561	1	1	1	5321.57
36.601	1	1	1	5321.58
36.641	1	1	1	5321.59
36.681	1	1	1	5321.6
36.721	1	1	1	5321.61
36.761	1	1	1	5321.62
36.801	1	1	1	5321.63
36.841	1	1	1	5321.64
36.881	1	1	1	5321.65
36.921	1	1	1	5321.66
36.961	1	1	1	5321.67
37.001	1	1	1	5321.68
37.041	1	1	1	5321.69
37.081	1	1	1	5321.7
